                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5371,                 4.1045,                 4.1855,                0.00313,                0.23222,                0.04034,                0.00859,                 3.6205,                 4.2048,                 4.1538,              0.0002125,              0.0002125,              0.0002125
                      2,                 3.5958,                 3.8119,                 4.0917,                0.00314,                0.24148,                0.04833,                0.01158,                 3.5995,                 4.1685,                 4.1187,             0.00043172,             0.00043172,             0.00043172
                      3,                 3.5613,                 3.3391,                 3.8912,                0.00302,                0.24148,                0.08776,                0.02926,                 3.5838,                 4.1908,                 4.0888,             0.00064501,             0.00064501,             0.00064501
                      4,                 3.2925,                 2.9694,                  3.579,                0.00331,                  0.305,                0.08396,                0.03243,                 3.6545,                 3.8117,                 3.8523,             0.00085235,             0.00085235,             0.00085235
                      5,                  3.094,                 2.7309,                 3.3245,                0.84003,                0.14595,                0.14668,                0.04232,                 3.2157,                 4.5032,                 3.3087,              0.0010538,              0.0010538,              0.0010538
                      6,                 2.9001,                 2.6098,                 3.0986,                0.56223,                0.21296,                0.09313,                0.02367,                 3.0471,                 5.3046,                 3.9458,              0.0011675,              0.0011675,              0.0011675
                      7,                 2.8336,                 2.4958,                  2.992,                0.36261,                0.07368,                0.07723,                0.02369,                  2.874,                 3.6927,                 4.0627,              0.0011675,              0.0011675,              0.0011675
                      8,                 2.7774,                 2.4702,                 2.8966,                 0.8868,                0.09474,                0.13322,                 0.0327,                 2.9224,                 3.2454,                 3.7979,               0.001151,               0.001151,               0.001151
                      9,                 2.7079,                 2.4072,                 2.7858,                0.57531,                0.24649,                 0.1365,                 0.0279,                 2.9988,                 3.0162,                 3.3105,              0.0011345,              0.0011345,              0.0011345
                     10,                 2.6583,                 2.3231,                 2.7145,                0.66388,                0.38025,                0.40417,                 0.1059,                 2.6731,                 2.2186,                 2.7801,               0.001118,               0.001118,               0.001118
                     11,                 2.6156,                 2.2269,                  2.621,                 0.7025,                0.30421,                0.33781,                0.09167,                 2.4269,                 2.4012,                 2.5426,              0.0011015,              0.0011015,              0.0011015
                     12,                 2.5046,                 2.0867,                 2.4788,                0.72687,                0.39836,                0.39228,                0.12894,                 2.4268,                  2.134,                   2.57,               0.001085,               0.001085,               0.001085
                     13,                 2.5039,                 2.1023,                 2.5132,                0.55172,                  0.491,                 0.3939,                0.14892,                  2.375,                 2.0325,                 2.4475,              0.0010685,              0.0010685,              0.0010685
                     14,                  2.436,                 1.9903,                 2.4484,                0.47413,                0.45188,                0.28346,                0.08742,                 2.6302,                  2.117,                 2.6012,               0.001052,               0.001052,               0.001052
                     15,                 2.4091,                 2.0063,                 2.4161,                0.65003,                  0.485,                0.46231,                0.16298,                  2.136,                 1.9168,                 2.2458,              0.0010355,              0.0010355,              0.0010355
                     16,                 2.3665,                 1.9498,                 2.3899,                0.59111,                0.43845,                0.38152,                 0.1314,                 2.3886,                 2.2502,                 2.3999,               0.001019,               0.001019,               0.001019
                     17,                 2.3489,                 1.9059,                 2.3081,                0.63338,                0.47763,                0.51205,                0.19944,                 2.1747,                 1.7924,                 2.2459,              0.0010025,              0.0010025,              0.0010025
                     18,                 2.3025,                 1.8269,                 2.2539,                0.75878,                0.45293,                0.46215,                0.17509,                 2.1309,                 1.9275,                 2.1846,               0.000986,               0.000986,               0.000986
                     19,                 2.2603,                  1.801,                 2.2338,                0.74401,                 0.5116,                0.56012,                0.21457,                 2.1434,                 1.7344,                 2.2069,              0.0009695,              0.0009695,              0.0009695
                     20,                 2.2233,                 1.7534,                 2.1911,                0.71407,                0.50298,                0.56045,                 0.2322,                 1.9974,                 1.7413,                 2.0811,               0.000953,               0.000953,               0.000953
                     21,                 2.1949,                 1.7377,                 2.1387,                  0.684,                0.54139,                0.59924,                0.24322,                 2.0661,                 1.7064,                 2.1229,              0.0009365,              0.0009365,              0.0009365
                     22,                 2.1581,                 1.6759,                 2.1347,                0.53785,                0.52577,                0.61112,                0.24697,                 1.9723,                  1.651,                  2.058,                0.00092,                0.00092,                0.00092
                     23,                 2.1471,                 1.6363,                 2.0861,                0.81024,                0.56842,                0.61788,                0.27885,                 1.8787,                 1.5694,                  1.995,              0.0009035,              0.0009035,              0.0009035
                     24,                 2.1019,                 1.6648,                 2.0863,                 0.8575,                0.52999,                0.64024,                0.27294,                 1.9652,                  1.569,                 2.0363,               0.000887,               0.000887,               0.000887
                     25,                 2.0986,                  1.598,                 2.0406,                0.74788,                0.58829,                0.67252,                0.31755,                 1.8199,                 1.5164,                 1.9837,              0.0008705,              0.0008705,              0.0008705
                     26,                  2.097,                 1.6252,                 2.0664,                0.67667,                0.61527,                0.64455,                 0.2712,                 2.0791,                 1.6051,                 2.0719,               0.000854,               0.000854,               0.000854
                     27,                 2.0847,                 1.5533,                 2.0418,                0.71787,                0.58119,                0.67732,                0.31809,                 1.8236,                  1.463,                 1.9419,              0.0008375,              0.0008375,              0.0008375
                     28,                 2.0613,                 1.6376,                 2.0423,                0.81697,                0.54412,                0.64724,                0.20795,                 2.1422,                 1.5793,                 2.1332,               0.000821,               0.000821,               0.000821
                     29,                 2.0444,                 1.5702,                 2.0214,                0.65266,                0.56974,                0.68772,                0.34893,                 1.8027,                 1.4154,                 1.8839,              0.0008045,              0.0008045,              0.0008045
                     30,                 2.0337,                 1.5578,                 2.0232,                0.68014,                0.62238,                0.69803,                0.31853,                 1.8884,                 1.3758,                 1.9278,               0.000788,               0.000788,               0.000788
                     31,                 1.9882,                 1.5342,                 1.9832,                 0.6368,                0.63575,                0.70926,                0.33951,                 1.7409,                 1.4372,                 1.8492,              0.0007715,              0.0007715,              0.0007715
                     32,                 1.9855,                 1.5324,                 1.9561,                0.78486,                0.62319,                 0.7314,                0.35868,                 1.7404,                 1.3262,                  1.843,               0.000755,               0.000755,               0.000755
                     33,                 1.9834,                 1.4483,                 1.9242,                0.68704,                0.66061,                0.71806,                0.33358,                 1.8812,                 1.3392,                 1.9027,              0.0007385,              0.0007385,              0.0007385
                     34,                 1.9135,                 1.4408,                  1.909,                0.66664,                0.70365,                0.75345,                0.35719,                 1.8687,                 1.2923,                 1.9037,               0.000722,               0.000722,               0.000722
                     35,                 1.9832,                 1.4714,                 1.9598,                0.78006,                0.66221,                0.73823,                0.38258,                 1.7107,                 1.2926,                 1.8018,              0.0007055,              0.0007055,              0.0007055
                     36,                 1.9374,                 1.4413,                 1.9439,                0.72121,                0.62811,                0.71235,                0.38717,                   1.67,                  1.371,                  1.819,               0.000689,               0.000689,               0.000689
                     37,                 1.9525,                 1.4351,                 1.9359,                0.71848,                0.71517,                0.74603,                0.37226,                 1.8024,                 1.2488,                 1.8276,              0.0006725,              0.0006725,              0.0006725
                     38,                 1.9402,                 1.4183,                 1.8938,                0.72615,                0.71441,                 0.7494,                0.38283,                 1.6877,                 1.2102,                 1.7497,               0.000656,               0.000656,               0.000656
                     39,                 1.8788,                 1.4006,                 1.8844,                0.76413,                0.70944,                0.75934,                0.38177,                 1.7791,                 1.2235,                 1.8125,              0.0006395,              0.0006395,              0.0006395
                     40,                 1.9286,                 1.3813,                 1.9071,                0.72559,                0.71341,                0.74842,                0.38507,                 1.6798,                 1.2518,                 1.7695,               0.000623,               0.000623,               0.000623
                     41,                 1.8941,                 1.3781,                 1.8981,                0.66213,                 0.7257,                0.74141,                0.40962,                 1.6403,                 1.2143,                 1.7359,              0.0006065,              0.0006065,              0.0006065
                     42,                 1.8264,                  1.357,                 1.8419,                0.80184,                0.68516,                0.77246,                0.40219,                  1.651,                 1.1873,                 1.7386,                0.00059,                0.00059,                0.00059
                     43,                 1.8363,                 1.3428,                 1.8389,                 0.6918,                0.70677,                0.76157,                0.40861,                 1.6503,                 1.1755,                 1.7332,              0.0005735,              0.0005735,              0.0005735
                     44,                 1.8692,                 1.3544,                 1.8486,                0.72907,                0.76311,                0.78782,                0.38884,                 1.7547,                 1.1986,                 1.7799,               0.000557,               0.000557,               0.000557
                     45,                 1.8267,                 1.3544,                 1.8508,                0.64189,                 0.7236,                0.74377,                0.40249,                 1.6378,                 1.1948,                 1.7537,              0.0005405,              0.0005405,              0.0005405
                     46,                 1.8162,                 1.3043,                 1.8159,                0.72442,                0.74084,                0.75165,                0.41061,                 1.6523,                 1.1849,                 1.7431,               0.000524,               0.000524,               0.000524
                     47,                 1.8313,                 1.3278,                 1.8256,                0.78279,                 0.6567,                0.76945,                0.42121,                 1.6436,                 1.1517,                 1.7328,              0.0005075,              0.0005075,              0.0005075
                     48,                 1.8319,                 1.2969,                 1.7974,                0.73193,                0.73564,                0.78295,                0.40351,                 1.6152,                 1.2003,                  1.716,               0.000491,               0.000491,               0.000491
                     49,                 1.8207,                 1.3146,                 1.8213,                0.74131,                0.66971,                0.73182,                0.38983,                 1.6777,                 1.2463,                  1.752,              0.0004745,              0.0004745,              0.0004745
                     50,                  1.844,                 1.3327,                 1.8265,                0.77183,                0.73012,                 0.7819,                0.40778,                 1.6311,                 1.1368,                  1.709,               0.000458,               0.000458,               0.000458
                     51,                 1.7946,                 1.2544,                 1.7699,                0.75535,                0.77138,                0.79683,                0.43396,                  1.608,                 1.1093,                 1.6886,              0.0004415,              0.0004415,              0.0004415
                     52,                 1.7713,                 1.2694,                 1.7777,                0.78527,                 0.7136,                0.77976,                0.41732,                  1.694,                 1.1534,                 1.7378,               0.000425,               0.000425,               0.000425
                     53,                 1.7837,                 1.2592,                 1.7778,                0.82339,                0.73583,                0.79062,                0.44493,                 1.6204,                 1.1199,                 1.7026,              0.0004085,              0.0004085,              0.0004085
                     54,                 1.7461,                 1.2372,                 1.7651,                0.79117,                0.77603,                0.79745,                0.43067,                 1.6414,                 1.0669,                 1.7095,               0.000392,               0.000392,               0.000392
                     55,                 1.7431,                 1.2537,                 1.7792,                  0.798,                0.78496,                0.79266,                0.40562,                 1.7214,                 1.1472,                 1.7527,              0.0003755,              0.0003755,              0.0003755
                     56,                 1.7129,                 1.2145,                 1.7475,                0.74819,                0.72821,                0.76988,                0.44341,                 1.5875,                 1.1062,                 1.6686,               0.000359,               0.000359,               0.000359
                     57,                 1.7213,                 1.1816,                 1.7231,                0.82546,                0.74599,                0.80028,                 0.4475,                 1.5666,                 1.0668,                 1.6586,              0.0003425,              0.0003425,              0.0003425
                     58,                 1.7273,                 1.2178,                  1.738,                0.75958,                0.74446,                0.77373,                  0.433,                 1.5844,                 1.0857,                 1.6686,               0.000326,               0.000326,               0.000326
                     59,                 1.7313,                 1.1924,                 1.7445,                0.74997,                0.76022,                0.77502,                 0.4258,                 1.6393,                 1.0739,                 1.6934,              0.0003095,              0.0003095,              0.0003095
                     60,                 1.7174,                 1.1869,                 1.7158,                0.77087,                0.72724,                0.77344,                0.45921,                  1.509,                 1.0578,                 1.6341,               0.000293,               0.000293,               0.000293
                     61,                 1.6879,                 1.1926,                 1.7075,                0.82111,                0.76012,                0.79682,                0.45327,                 1.5633,                 1.0681,                 1.6451,              0.0002765,              0.0002765,              0.0002765
                     62,                 1.6881,                 1.1722,                 1.6983,                0.78833,                0.76071,                0.79717,                0.44729,                 1.5696,                 1.0475,                 1.6415,                0.00026,                0.00026,                0.00026
                     63,                 1.6851,                 1.1707,                 1.7041,                0.80892,                0.78681,                0.80526,                0.45214,                 1.5992,                  1.062,                 1.6715,              0.0002435,              0.0002435,              0.0002435
                     64,                 1.6973,                 1.1606,                 1.7095,                0.78797,                0.74687,                0.78943,                0.46263,                 1.5656,                  1.037,                 1.6424,               0.000227,               0.000227,               0.000227
                     65,                 1.6386,                 1.1484,                 1.6846,                0.77478,                0.79113,                0.80034,                0.43988,                 1.5885,                 1.0531,                 1.6427,              0.0002105,              0.0002105,              0.0002105
                     66,                 1.6183,                 1.1837,                 1.7421,                0.68702,                0.70996,                0.75655,                 0.3364,                 1.8963,                 1.1355,                 1.8297,               0.000194,               0.000194,               0.000194
                     67,                 1.6178,                 1.1173,                 1.7381,                0.80258,                0.75886,                0.78471,                0.43132,                 1.6141,                 1.0952,                 1.6661,              0.0001775,              0.0001775,              0.0001775
                     68,                 1.6189,                 1.0999,                 1.7468,                0.81874,                0.76296,                0.78339,                0.42324,                 1.6828,                  1.064,                 1.6952,               0.000161,               0.000161,               0.000161
                     69,                 1.6133,                 1.0621,                 1.7127,                0.83246,                0.76792,                0.82184,                0.44482,                  1.638,                 1.0355,                 1.6673,              0.0001445,              0.0001445,              0.0001445
                     70,                 1.6077,                 1.0851,                 1.7085,                0.82256,                0.77564,                0.80594,                0.47253,                 1.5481,                 1.0219,                 1.6117,               0.000128,               0.000128,               0.000128
                     71,                 1.5618,                 1.0616,                 1.6865,                0.84997,                0.79842,                0.82472,                0.46011,                 1.6625,                 1.0409,                 1.6863,              0.0001115,              0.0001115,              0.0001115
                     72,                 1.5592,                 1.0533,                 1.6873,                0.84943,                0.79097,                0.80287,                0.48394,                   1.53,                 1.0104,                 1.6086,                9.5e-05,                9.5e-05,                9.5e-05
                     73,                 1.5563,                 1.0844,                  1.708,                0.83817,                0.77901,                0.81043,                0.48257,                  1.526,                 1.0077,                 1.6115,               7.85e-05,               7.85e-05,               7.85e-05
                     74,                 1.5515,                 1.0373,                 1.6737,                0.80153,                0.78164,                0.82502,                 0.4774,                 1.5653,                 1.0195,                 1.6278,                6.2e-05,                6.2e-05,                6.2e-05
                     75,                 1.5367,                 1.0472,                 1.6682,                0.83003,                0.73997,                0.81052,                0.47379,                 1.5622,                 1.0125,                 1.6241,               4.55e-05,               4.55e-05,               4.55e-05
